1,Rex Sanford,1916.63,41
2,Doug Zulauf,4339.23,41
3,Ghislaine Murazik,2473.99,39
4,Mr. Brock Purdy,1902.54,24
5,Chantell Stracke,3808.83,27
6,Penney Rempel,2838.47,41
7,Long Graham,2066.82,22
8,Willard Rau Sr.,1222.36,32
9,Oneida Muller,1549.73,25
10,Mrs. Mike Moen,1643.08,37
11,Kandis Abshire,629.28,41
12,Carlita Koss,1716.02,42
13,Bernardo Gulgowski IV,1787.36,25
14,Granville King,1726.28,35
15,Edyth Hane,3185.57,20
16,Miss Shirleen Emard,3344.58,29
17,Mr. Chante Kub,4143.05,23
18,Roselyn Zboncak,2216.46,34
19,Clemmie Leuschke,1209.9,30
20,Chi Koelpin,1289.01,35
21,Miss Dong Kutch,3915.58,41
22,Cody Berge PhD,3827.09,27
23,Janette Stoltenberg,4123.25,27
24,Mrs. Myriam Pagac,2648.84,23
25,Tyrell Dickinson I,1810.55,43
26,Moshe Pfannerstill,861.96,42
27,Long Hartmann,4474.39,25
28,Fe Tromp,3558.76,30
29,Ralph Gottlieb,4355.26,30
30,Demarcus Thiel,2378.18,25
31,Colin Klein Jr.,1630.91,32
32,Chris Homenick,2081.48,46
33,Rey Moore,4498.26,22
34,Gabriel Halvorson DVM,4455.46,44
35,Joseph MacGyver,3575.99,22
36,Rosa Reinger III,874.16,47
37,Dayle Lowe,2780.11,26
38,Adan Green,2654.78,38
39,Lacie Block,4484.99,21
40,Ms. Asuncion Haag,2185.96,47
41,Leatrice Stroman,3724.65,44
42,Emerson Kertzmann,3606.96,28
43,Jerold Langworth,4765.3,24
44,Gerald Keebler,1982.26,34
45,Dr. Gus Powlowski,645.98,44
46,Shaniqua Kertzmann,3735.85,28
47,Shalon Davis,4428.08,24
48,Forrest Green,3459.07,42
49,Santiago Stracke DVM,3671.81,40
50,Ms. Gwyneth Will,4683.34,31
51,Lionel Dibbert,635.92,30
52,Ms. Lanelle Zieme,2990.34,43
53,Josue Gulgowski,4679.51,33
54,Demetrius Stanton,735.87,31
55,Cornell Parker,3633.44,30
56,Ron Buckridge,1621.16,22
57,Kevin Donnelly IV,897.52,23
58,Keiko Senger IV,3933.51,33
59,Dortha Bartell,1131.62,35
60,Luana Ruecker,1627.2,28
61,Albert Friesen DVM,2758.59,42
62,Santo Ernser,4899.69,37
63,Damien Bode,4139.0,44
64,Cole Jacobi,4844.08,20
65,Charity Bartell,2294.69,43
66,Donn Lockman,1913.86,28
67,Marla Dickens,4723.56,32
68,Marie Mann,4015.64,42
69,Ricky Fay,3570.19,24
70,Stevie Upton,672.72,22
71,Mitchel Christiansen PhD,3669.93,24
72,Pablo Hoppe,1121.39,37
73,Ms. Song Schneider,2021.9,34
74,Richard Ward,1233.22,24
75,Ulysses Hoppe,4542.45,40
76,Ms. Nicolas Harris,780.7,33
77,Miss Rigoberto Kertzmann,2620.38,33
78,Zackary Bauch,1020.84,38
79,Luciano Bayer,2165.39,36
80,Len Hauck,4790.92,45
81,Theo Littel,4530.42,25
82,Wes Lebsack,2313.58,21
83,Miss Emmitt Haag,2099.56,23
84,Hollis Pacocha,4796.95,44
85,Miss Crystal Nienow,855.56,21
86,Rico Zboncak,4737.4,25
87,Yong Pacocha,1099.98,44
88,Ms. Jerlene Dooley,3544.43,46
89,Hanna Mohr DVM,1037.55,31
90,Wilfred Mitchell,3350.48,22
91,Zella Bernhard,4190.92,36
92,Adalberto Crist,4628.88,42
93,Hisako Towne,4686.11,46
94,Lesley Rice,3179.73,39
95,Temeka Schultz Jr.,4816.7,44
96,Mr. Kerry Ebert,4843.06,46
97,Archie Lueilwitz,2074.51,34
98,Elza Koss,2258.06,26
99,Evia Carroll DVM,1753.4,21
100,Jayson Hills II,1705.05,34
101,Duncan Hettinger,2225.4,23
102,Vanna Muller,4011.29,21
103,Miranda Littel IV,2975.16,47
104,Heidy Turcotte,2830.21,37
105,Shayne Ullrich,2983.46,39
106,Arlette Halvorson,4312.96,26
107,Rubin Adams,1360.87,47
108,Edwardo Hessel,3772.82,26
109,Isiah Bednar DDS,958.17,44
110,Eugenie Wisoky,2950.18,23
111,Vesta Waelchi,3620.63,32
112,Jacelyn Grady V,4878.78,40
113,Ms. Donn Baumbach,2710.39,47
114,Kermit Haley DVM,3806.81,47
115,Carmel Erdman,4412.2,31
116,Marianela Leannon,650.86,33
117,Phillip Kemmer III,2767.77,47
118,Miss Timmy Christiansen,3556.49,28
119,Gaston Nikolaus,1404.04,46
120,Sarina Batz,4818.02,34
121,Lady Kilback Sr.,1837.3,21
122,Keneth Goodwin,2235.52,41
123,Mrs. Fawn Erdman,631.24,30
124,Mr. Doyle Nitzsche,1470.51,37
125,Christian Stracke,2589.48,25
126,Ms. Alfonso Buckridge,4124.46,38
127,Sofia Wolff,2244.73,44
128,Gail Boyer,4862.27,23
129,Bernardo Schamberger,2346.38,29
130,Velva Shanahan,3213.39,44
131,Robby Predovic,2813.33,31
132,Modesto Kertzmann,2338.76,28
133,Cortez Zulauf,1619.69,21
134,Hal Conroy DDS,3854.38,46
135,Lance Breitenberg,3370.56,23
136,Ellen D'Amore,2232.05,35
137,Hildegard Connelly,1551.85,43
138,Elvina Crooks,919.83,46
139,Linwood Schmidt,2969.51,37
140,Pauline Hilll,2279.34,37
141,Ms. Trinity Altenwerth,3396.28,26
142,Daniell Parker,3561.38,46
143,Shela Labadie MD,4497.68,36
144,Jackeline Bradtke,4006.8,39
145,Teofila Murphy,3300.26,26
146,Kristyn Rolfson IV,3226.85,27
147,Mrs. Jewell Harvey,2216.28,41
148,Jeannetta Hayes Sr.,3668.57,45
149,Donya King,2081.45,37
150,Marion Kuhlman,2413.97,38
151,Felix Bailey,1921.24,39
152,Jessia Hahn,779.84,34
153,Arnulfo Smith,4765.16,25
154,Jason Green,1671.04,24
155,Josue Hegmann,1297.07,41
156,Bobbie Larkin,4326.1,25
157,Li Champlin,1003.25,42
158,Antwan Hodkiewicz,4899.58,44
159,Hung Zboncak,885.32,30
160,Ramon Muller,4223.07,21
161,Rolland Block,4547.51,22
162,Carl Bins,1658.0,26
163,Eldon Wolff V,3549.27,23
164,Wilson Tromp DVM,2177.9,34
165,Eduardo Grimes DDS,4687.47,47
166,Miss Katrina Hand,1861.65,44
167,Augustus Luettgen,4348.26,21
168,Pearlene Barton,2057.65,31
169,Cecille Mitchell IV,4931.16,35
170,Randy Koss Jr.,1434.5,29
171,Anneliese Botsford,4856.0,34
172,Rich Quitzon,2234.57,40
173,Concha Senger III,1045.78,23
174,Roscoe Kautzer,2918.62,41
175,Assunta Cartwright PhD,3979.23,37
176,Ms. Angelika Mante,687.48,20
177,Miss Nicholas Bruen,4504.34,26
178,Mrs. Enoch Koelpin,3508.31,36
179,Jennie Fahey,2778.66,27
180,Pia Hahn,578.28,33
181,Danna Schulist Sr.,1295.44,31
182,Troy Welch,2158.16,27
183,Mr. Noah Schimmel,3270.29,44
184,Idalia Brakus,2336.31,32
185,Mr. Wayne Mayer,2625.86,38
186,Ms. Katharyn Kunde,4969.59,39
187,Clifton Hand,3697.76,23
188,Fiona Mraz,2150.2,41
189,Gavin Grant,1033.75,35
190,Wilfredo Wiza,4764.14,41
191,Felipa Schmeler,2227.2,44
192,Everette Beer,1279.0,35
193,Lyla Okuneva,1934.54,23
194,Miss Trinidad Kertzmann,4913.47,29
195,Jasper Welch,2364.08,34
196,Hayden Armstrong,1514.23,42
197,Eugena Halvorson,4840.31,27
198,Darrell Ferry,3289.93,35
199,Miss Tanna McCullough,3006.03,46
200,Mr. Claretta Stanton,4168.2,22
201,Josef Bailey,3393.22,42
202,Ebonie Johns II,2945.42,34
203,Mike Wuckert,1159.78,24
204,Tom Torphy,1507.43,21
205,Bette Mayert DDS,2446.47,40
206,Joshua Rohan,4860.12,27
207,Mrs. Sherrell Greenholt,4371.08,36
208,Dong Haag Jr.,1455.79,22
209,Ms. Wilber Mertz,4279.05,38
210,Lindsey Quitzon,2738.83,46
211,Mr. Margery Ratke,3250.45,44
212,Sina Lesch,3513.88,33
213,Jonah Bruen DVM,3234.42,34
214,Magen Stamm,4075.58,32
215,Chanda Hilpert,3201.45,23
216,Olivia Cronin PhD,1613.54,28
217,Hershel Hudson,4708.85,28
218,Dot Rippin,3579.99,45
219,Oscar MacGyver,2855.21,37
220,Miss Gaston Jaskolski,2373.3,33
221,Miss Francesco Macejkovic,870.75,44
222,Emil Rau,4888.7,46
223,Shanita Turcotte DVM,4536.06,28
224,Frederick Macejkovic IV,1776.93,38
225,Buck Terry,931.24,31
226,Becky Rogahn,864.99,21
227,Mr. Concetta Windler,4734.91,22
228,Philip Marks IV,1626.89,38
229,Preston Volkman,2030.34,42
230,Amado Konopelski,3068.42,28
231,Neil Lynch,1255.2,32
232,Wallace Legros,4636.38,21
233,Shirley Grady,4595.65,39
234,Karma Heathcote DVM,4063.8,47
235,Robby Purdy,1833.57,35
236,Milo Stamm,2262.88,20
237,Josh Mosciski,2146.72,31
238,Jeri MacGyver,3076.75,33
239,Miss Kathi Cole,1638.53,20
240,Merri Marvin,4435.31,41
241,Neville Ullrich,2794.87,30
242,Adele Wuckert IV,4599.23,23
243,Stacy Paucek,4948.16,35
244,Mrs. Lauren Cummerata,1826.33,26
245,Taina Torp,4527.16,38
246,Jadwiga Cummerata,4834.6,27
247,Jeffry Rempel,2628.15,41
248,Santiago Hermann,1417.04,45
249,Alejandra Walker,2779.16,39
250,Tuan Hyatt,4337.04,46
251,Naomi Jast DVM,2638.28,45
252,Mrs. Alexa Gulgowski,1653.08,44
253,Fritz Renner,3566.4,42
254,Noel Stehr,1844.06,37
255,Antoine Blanda,714.77,37
256,Leonora Howe,790.37,39
257,Donnell Kohler,2561.9,25
258,Junko Douglas DVM,4783.69,22
259,Justin Yost DVM,3954.61,25
260,Isreal McCullough,4225.1,24
261,Mr. Deandra Schroeder,3894.31,40
262,Derrick Kovacek,2182.99,23
263,Misti Stoltenberg II,1879.77,24
264,Mirna Kunze,2602.5,20
265,Leila Jerde,4453.09,41
266,Stacia Steuber,1894.77,24
267,Dennise Shanahan,2707.08,24
268,Hildegarde Crooks,1718.5,39
269,Leonila Moen,4049.96,39
270,Mary Rice PhD,1780.92,43
271,Hugh Nienow I,1604.27,46
272,Joesph Ferry,4042.47,25
273,Quintin Murazik,3932.62,32
274,Nu DuBuque,1183.54,24
275,Loren Beatty,4857.32,37
276,Mr. Julius Carroll,2444.6,26
277,Rob Hammes,1152.34,22
278,Hollie Wilderman,3701.69,35
279,Lora Oberbrunner DDS,2657.68,40
280,Teressa Lueilwitz,3396.34,22
281,Mariela Kreiger,2017.51,28
282,Tyesha King,610.31,34
283,Normand Gerlach,2850.17,40
284,Liza Swaniawski,546.32,30
285,Yuki Greenfelder,1581.46,21
286,Kerri Johnston,1352.39,43
287,Angla Harber Sr.,2565.51,36
288,Miss Maxine Crooks,561.89,45
289,Elias Hansen,1868.3,38
290,Clinton Lockman,4796.79,24
291,Lacy Koss Sr.,3446.22,46
292,Haywood Schuppe,4429.07,23
293,Ms. Thalia Kuhic,3597.09,40
294,Valeri Quitzon,2084.47,46
295,Florida Ebert,3934.07,43
296,Jesus Zboncak,2868.81,30
297,Mrs. Edie Reichel,4196.42,40
298,Jacelyn Bauch,2750.14,29
299,Mrs. Kathey Koch,3446.77,29
300,Lou Funk DVM,4457.65,23
301,Wally Feest,3961.44,43
302,Albert Baumbach,710.31,34
303,Matilde Schaden,4877.62,37
304,Sammy Bernhard,4395.67,41
305,Bessie Dibbert PhD,1173.04,43
306,Lasonya Zulauf V,3565.89,40
307,Jamee Cruickshank,1275.12,38
308,Mr. Margarett Steuber,2300.68,35
309,Ms. Sherise Miller,1745.83,24
310,Lavern Blick,4993.37,26
311,Maira Swaniawski,3976.05,42
312,Ollie Roberts,4064.44,30
313,Earnest Mertz I,4134.75,22
314,Janeen King,4607.55,31
315,Regan Macejkovic PhD,4291.81,20
316,Art Schneider,804.27,36
317,Collen Schoen,940.19,36
318,Percy Zulauf,3793.59,25
319,Shaquita Kuvalis PhD,4953.46,39
320,Mark Kassulke,1546.4,41
321,Jaime Nikolaus,1271.66,30
322,Waneta Franecki,4776.35,32
323,Ross Feest,3477.34,43
324,Inez Treutel,969.29,22
325,Emile MacGyver,848.87,43
326,Rickey Swift,3128.13,31
327,Myron Wolff,771.42,37
328,Darron Strosin,1545.22,41
329,Ms. Bob Leannon,744.64,32
330,Allen Ankunding,858.2,30
331,Sharleen Cartwright,1226.74,35
332,Desmond Becker,3647.9,46
333,Janene Towne,3354.31,44
334,Juan Rutherford,1418.22,45
335,Arron Renner,4333.21,20
336,Darwin Ward,3868.83,23
337,Lester Dickinson,2537.39,34
338,Nick Labadie,822.86,26
339,Bebe Stoltenberg,2507.39,38
340,Mr. Noe Schultz,2596.75,30
341,Freddy Jacobs Jr.,4435.37,21
342,Raymond Schultz DVM,2802.31,21
343,Fransisca Cartwright,3969.47,27
344,Lincoln Quigley,1402.8,39
345,Claud Casper,2085.19,36
346,Dorotha Waters,2952.03,31
347,Dewayne Prohaska,2600.85,28
348,Lolita Stokes,3225.03,30
349,Buford Luettgen,2814.37,44
350,Mr. Angelo Corkery,927.66,36
351,Javier Witting,2601.36,36
352,Jacques Thompson,3610.17,27
353,Lawana Volkman Sr.,3571.04,25
354,Brittani Gibson,544.23,32
355,Meryl Wolff,4590.49,31
356,Preston Kulas,1286.04,44
357,Dr. Deon Thiel,1966.4,36
358,Mrs. Brendan Bednar,2724.37,42
359,Darcel Kovacek,3615.96,28
360,Anthony King,1655.62,24
361,Derick Deckow,1038.7,36
362,Mrs. Ricarda Homenick,4400.59,40
363,Eladia Harris,4848.82,30
364,Nigel Feil,1073.85,32
365,Ms. Saundra Krajcik,4317.02,34
366,Arturo Reinger Sr.,650.2,44
367,Bernardina Hauck,3957.15,46
368,Mrs. Tamesha Wilkinson,1490.69,30
